,Tokens
0,"['flying', 'a', 'business', 'class', 'pleasure', 'ba', 'made', 'disaster', 'worst', 'seating', 'configuration', 'imaginable', 'could', 'sane', 'person', 'could', 'jam', 'many', 'seats', 'limited', 'space', 'expect', 'passengers', 'happy', 'seats', 'narrower', 'economy', 'airlines', 'must', 'face', 'another', 'person', 'plastic', 'screen', 'raised', 'tv', 'screens', 'size', 'medium', 'sized', 'tablet', 'controls', 'behind', 'head', 'sitting', 'position', 'put', 'anything', 'except', 'one', 'small', 'pull', 'draw', 'ground', 'level', 'reached', 'seated', 'accessed', 'sleeping', 'window', 'seats', 'middle', 'seats', 'accessed', 'jump', 'passenger', 'aisle', 'seat', 'seats', 'low', 'hard', 'elderly', 'get', 'whole', 'business', 'class', 'set', 'sick', 'joke', 'eating', 'difficult', 'seat', 'close', 'enough', 'table', 'tables', 'flimsy', 'drinks', 'fall', 'redeeming', 'features', 'answer', 'like', 'little', 'comfort', 'avoid', 'ba', 'like', 'plague']"
1,"['british', 'airways', 'absolutely', 'care', 'reserved', 'seat', 'change', 'aisle', 'center', 'seat', 'overnight', 'full', 'flight', 'quite', 'awful', 'enquiring', 'lax', 'check', 'agent', 'said', 'sorry', 'nothing', 'onboard', 'flight', 'attendants', 'seemed', 'try', 'finish', 'meal', 'service', 'racing', 'speed', 'meals', 'trays', 'passed', 'proper', 'questions', 'choice', 'back', 'clearing', 'trays', 'disappeared', 'rest', 'kitchen', 'hours', 'water', 'runs', 'need', 'anything', 'bother', 'call', 'bell', 'simply', 'ignore', 'used', 'like', 'travelling', 'british', 'airways', 'years', 'ago', 'bean', 'counters', 'lowered', 'close', 'lowcost', 'carrier', 'guess', 'staff', 'badly', 'paid', 'terrible', 'attitude', 'service', 'last', 'trip', 'london', 'delta', 'much', 'better', 'poor', 'excuse', 'airline', 'british', 'air', 'become']"
2,"['recent', 'experience', 'british', 'airways', 'horrendous', 'utter', 'abdication', 'responsibility', 'part', 'arrived', 'jfk', 'ready', 'flight', 'malaga', 'find', 'cancelled', 'zero', 'notice', 'draining', 'hour', 'altercation', 'finally', 'placed', 'different', 'flight', 'nightmare', 'continued', 'landed', 'malaga', 'sans', 'luggage', 'containing', 'essentials', 'sons', 'wedding', 'thirty', 'agonizing', 'hours', 'later', 'bags', 'showed', 'up—but', 'brandnew', 'ipad', 'special', 'watch', 'nephew', 'missing', 'items', 'werent', 'merely', 'valuable', 'emotional', 'significance', 'made', 'loss', 'even', 'gutwrenching', 'youd', 'think', 'reputable', 'airline', 'would', 'make', 'amends', 'errors', 'despite', 'clear', 'mishandling', 'baggage', 'team', 'refused', 'offer', 'reimbursement', 'even', 'modest', 'amount', 'airline', 'credit', 'customer', 'service', 'ineffective', 'also', 'astonishingly', 'callous', 'response', 'essence', 'fault', 'trusting', 'us', 'belongings', 'isnt', 'poor', 'customer', 'service', 'complete', 'disregard', 'basic', 'human', 'decency', 'responsibility', 'british', 'airways', 'numerous', 'opportunities', 'right', 'wrongs', 'chose', 'respect', 'time', 'belongings', 'emotional', 'wellbeing', 'avoid', 'british', 'airways', 'costs', 'fail', 'deliver', 'promises', 'also', 'refuse', 'make', 'amends', 'err', 'leaving', 'customers', 'bear', 'brunt', 'incompetence']"
3,"['express', 'displeasure', 'concerns', 'regarding', 'flight', 'italy', 'trip', 'effectively', 'ruined', 'failure', 'luggage', 'arrive', 'us', 'coupled', 'length', 'time', 'took', 'eventually', 'reach', 'us', 'days', 'departure', 'dates', 'june', 'flight', 'ba', 'chicago', 'london', 'june', 'rebooked', 'ba', 'ba', 'london', 'rome', 'flights', 'late', 'arrival', 'rome', 'wife', 'forced', 'walk', 'checkin', 'desk', 'reservation', 'wheelchair', 'assist', 'plane', 'never', 'transferred', 'ba', 'told', 'cabin', 'crew', 'reservation', 'transport', 'also', 'checked', 'baggage', 'failed', 'make', 'ba', 'rebooked', 'flight', 'london', 'rome', 'ba', 'took', 'days', 'deliver', 'bag', 'days', 'deliver', 'wifes', 'called', 'ba', 'baggage', 'claim', 'services', 'daily', 'frequently', 'cut', 'waiting', 'hold', 'hour', 'apple', 'air', 'tags', 'bags', 'sent', 'pictures', 'showing', 'exact', 'location', 'ba', 'baggage', 'claim', 'several', 'times', 'days', 'ba', 'stated', 'found', 'wifes', 'bag', 'needed', 'verify', 'ownership', 'bags', 'described', 'bright', 'pink', '”', 'easily', 'visible', 'tags', 'bright', 'pink', 'bows', 'taking', 'days', 'deliver', 'inexcusable', 'return', 'date', 'july', 'ba', 'rome', 'london', 'ba', 'london', 'chicago', 'flights', 'late', 'arrived', 'chicago', 'hours', 'late', 'missing', 'ground', 'transportation', 'home', 'michigan', 'hours', 'away', 'find', 'hotel', 'stay', 'overnight', 'near', 'chicago', 'july', 'filed', 'expenses', 'replacement', 'lost', 'clothing', 'toiletries', 'also', 'food', 'purchased', 'heathrow', 'due', 'flight', 'delay', 'overnight', 'hotel', 'charges', 'chicago', 'weeks', 'went', 'online', 'asking', 'followup', 'cases', 'response', 'ba', 'retirees', 'fixed', 'income', 'can', 'not', 'fund', 'ba', '’', 's', 'errors', 'honestly', 'say', 'times', 'able', 'reach', 'human', 'courteous', 'attempted', 'help', 'appeared', 'loss']"
4,"['flew', 'london', 'malaga', 'august', 'club', 'europe', 'stood', 'around', 'gate', 'b', 'terminal', 'hour', 'staff', 'giving', 'different', 'reasons', 'delay', 'late', 'inbound', 'aircraft', 'etc', 'plane', 'boarded', 'sitting', 'hour', 'boarding', 'captain', 'stated', 'changed', 'planes', 'would', 'meals', 'served', 'club', 'europe', 'received', 'one', 'small', 'packet', 'crisps', 'throughout', 'flight', 'effort', 'apologise', 'smelt', 'hot', 'meal', 'pilots', 'heated', 'saw', 'served', 'club', 'europe', 'meal', 'tray', 'cabin', 'crew', 'also', 'warmed', 'pastries', 'quick', 'use', 'air', 'freshener', 'front', 'galley', 'customers', 'received', 'zilch', 'ba', 'sent', 'email', 'following', 'morning', 'say', 'sorry', 'nothing', 'else', 'complete', 'utter', 'rip', 'airline', 'already', 'cutting', 'back', 'many', 'things', 'paid', 'full', 'business', 'class', 'fare', 'receive', 'part', 'onboard', 'meal', 'service', 'expect', 'email', 'sufficient', 'avoid', 'ba', 'option', 'nowadays', 'worst', 'europe']"
5,"['arrived', 'airport', 'hours', 'takeoff', 'time', 'get', 'checked', 'go', 'security', 'etc', 'went', 'without', 'issues', 'relatively', 'early', 'gate', 'one', 'first', 'passengers', 'time', 'boarding', 'opened', 'first', 'business', 'class', 'got', 'called', 'families', 'children', 'disabled', 'people', 'couple', 'minutes', 'boarding', 'started', 'call', 'people', 'one', 'one', 'name', 'announcement', 'won', '’', 't', 'let', 'anyone', 'anymore', 'fifty', 'people', 'still', 'standing', 'gate', 'let', 'reason', 'said', 'plane', 'short', 'staffed', 'later', 'discovered', 'speaking', 'manager', 'flight', 'short', 'staffed', 'also', 'overbooked', 'announcement', 'people', 'getting', 'angry', 'wouldn', '’', 't', 'let', 'anymore', 'nothing', 'changed', 'everyone', 'sent', 'away', 'connecting', 'flight', 'later', 'day', 'going', 'miss', 'let', 'plane', 'first', 'tried', 'get', 'luggage', 'back', 'didn', '’', 't', 'receive', 'immediately', 'got', 'hold', 'later', 'thanks', 'airport', 'personnel', 'like', 'everyone', 'going', 'fly', 'plane', 'wanted', 'talk', 'someone', 'british', 'airways', 'since', 'don', '’', 't', 'service', 'center', 'frankfurt', 'airport', 'everyone', 'went', 'checkin', 'counters', 'received', 'food', 'vouchers', 'single', 'person', 'either', 'able', 'rebook', 'anyone', '’', 's', 'flight', 'get', 'anyone', 'refunded', 'staff', 'said', 'going', 'receive', 'email', 'couple', 'hours', 'options', 'rebook', 'flight', 'get', 'refund', 'waited', 'four', 'hours', 'email', 'airport', 'come', 'today', 'trying', 'call', 'airline', 'help', 'either', 'answer', 'phone', 'hung', 'middle', 'conversation', 'four', 'hours', 'waiting', 'email', 'people', 'flight', 'went', 'back', 'checkin', 'counter', 'get', 'confirmation', 'receive', 'refund', 'new', 'shift', 'personell', 'know', 'happened', 'scanned', 'passport', 'looked', 'flight', 'found', 'system', 'dying', 'fault', 'could', 'attend', 'flight', 'looked', 'like', 'missed', 'everyone', 'standing', 'exactly', 'people', 'counter', 'said', 'could', 'anything', 'later', 'able', 'speak', 'manager', 'many', 'phone', 'calls', 'said', 'going', 'take', 'care', 'supposed', 'get', 'email', 'point', 'future', 'able', 'get', 'written', 'confirmation', 'get', 'refunded', 'even', 'several', 'times', 'asking', 'already', 'flew', 'lot', 'times', 'life', 'never', 'ever', 'thing', 'happened', 'many', 'people', 'let', 'plane', 'also', 'customer', 'service', 'horrible', 'able', 'rebook', 'confirm', 'refund', 'way', 'end', 'option', 'get', 'destination', 'would', 'book', 'last', 'minute', 'flight', 'lot', 'money', 'would', 'know', 'ever', 'got', 'backed']"
6,"['filthy', 'plane', 'cabin', 'staff', 'ok', 'appalling', 'customer', 'service', 'staff', 'couldn', '’', 't', 'care', 'less', 'dealing', 'complaint', 'paid', 'extra', 'club', 'europebusiness', 'class', 'food', 'poor', 'gave', 'wipes', 'clean', 'seat', 'area', 'split', 'could', 'accommodate', 'families', 'really', 'expect', 'pay', 'extra', 'service', 'cancelling', 'bookings', 'ba', 'even', 'means', 'lose', 'deposit']"
7,"['chaos', 'terminal', 'ba', 'cancellations', 'delays', 'staff', 'give', 'different', 'reasons', 'depending', 'ask', 'answers', 'lies', 'sadly', 'ba', 'airport', 'standards', 't', 'worse', 'ever', 'long', 'past', 'able', 'use', 'covid', 'excuse', 'short', 'haul', 'club', 'europe', 'trip', 'expect', 'little', 'ba', 'barely', 'even', 'provide', 'cutbacks', 'covid', 'permanent', 'find', 'alternative', 'carrier', 'route', 'choose', 'rather', 'ba', 'sadly', 'route', 'ba', 'monopoly']"
8,"['verified', 'ba', 'cancelled', 'flight', 'could', 'book', 'us', 'onto', 'flight', 'next', 'days', 'spend', '£k', 'expenses', 'get', 'us', 'back', 'another', 'airline', 'months', 'later', 'still', 'waiting', 'reimbursement', 'response', 'written', 'complaints', 'even', 'call', 'centre', 'staff', 'tell', 'head', 'office', 'taken', 'telephone', 'number', 'email', 'department', 'deal', 'even', 'can', 'not', 'escalate', 'inquire', 'utterly', 'useless']"
9,"['way', 'heathrow', 'airport', 'merely', 'half', 'hours', 'scheduled', 'departure', 'received', 'sms', 'stating', 'flight', 'johannesburg', 'canceled', 'reason', 'given', 'put', 'flight', 'one', 'day', 'later', 'choice', 'offered', 'already', 'airport', 'proceeded', 'check', 'ask', 'caused', 'cancellation', 'apparently', 'pilot', 'sick', 'nobody', 'available', 'standby', 'could', 'business', 'class', 'checkin', 'desk', 'assistant', 'unsympathetic', 'told', 'us', 'could', 'check', 'bags', 'following', 'day', 'found', 'someone', 'else', 'told', 'us', 'could', 'check', 'hrs', 'prior', 'departure', 'waited', 'airport', 'hours', 'checked', 'went', 'back', 'home', 'offered', 'refund', 'told', 'claim', 'extra', 'expenses', 'incurred', 'train', 'change', 'fees', 'connecting', 'flight', 'zimbabwe', 'loss', 'one', 'night', 'stay', 'expensive', 'safari', 'lodge', 'etc', 'offered', 'anything', 'snooty', 'unprofessional', 'uncaring', 'disorganised', 'lack', 'service', 'avoid', 'british', 'airways', 'find', 'better', 'cheaper', 'options']"
